,Iteration,Total_Reward
1015,1015,120.0
1016,1016,137.0
1017,1017,116.0
1018,1018,130.0
1019,1019,138.0
1020,1020,140.0
1021,1021,132.0
1022,1022,129.0
1023,1023,171.0
1024,1024,154.0
1025,1025,152.0
1026,1026,200.0
1027,1027,200.0
1028,1028,162.0
1029,1029,200.0
1030,1030,200.0
1031,1031,159.0
1032,1032,200.0
1033,1033,200.0
1034,1034,200.0
1035,1035,155.0
1036,1036,200.0
1037,1037,200.0
1038,1038,200.0
1039,1039,200.0
1040,1040,146.0
1041,1041,145.0
1042,1042,134.0
1043,1043,156.0
1044,1044,141.0
1045,1045,127.0
1046,1046,142.0
1047,1047,134.0
1048,1048,121.0
1049,1049,119.0
1050,1050,136.0
1051,1051,122.0
1052,1052,136.0
1053,1053,136.0
1054,1054,126.0
1055,1055,134.0
1056,1056,138.0
1057,1057,123.0
1058,1058,134.0
1059,1059,127.0
1060,1060,160.0
1061,1061,135.0
1062,1062,154.0
1063,1063,140.0
1064,1064,200.0
1065,1065,200.0
1066,1066,133.0
1067,1067,172.0
1068,1068,200.0
1069,1069,200.0
1070,1070,156.0
1071,1071,200.0
1072,1072,200.0
1073,1073,200.0
1074,1074,200.0
1075,1075,200.0
1076,1076,200.0
1077,1077,200.0
1078,1078,141.0
1079,1079,200.0
1080,1080,134.0
1081,1081,151.0
1082,1082,147.0
1083,1083,168.0
1084,1084,139.0
1085,1085,149.0
1086,1086,148.0
1087,1087,130.0
1088,1088,125.0
1089,1089,138.0
1090,1090,138.0
1091,1091,159.0
1092,1092,151.0
1093,1093,130.0
1094,1094,141.0
1095,1095,153.0
1096,1096,148.0
1097,1097,136.0
1098,1098,122.0
1099,1099,151.0
1100,1100,123.0
1101,1101,119.0
1102,1102,124.0
1103,1103,125.0
1104,1104,145.0
1105,1105,115.0
1106,1106,121.0
1107,1107,125.0
1108,1108,138.0
1109,1109,137.0
1110,1110,131.0
1111,1111,118.0
1112,1112,112.0
1113,1113,126.0
1114,1114,113.0
1115,1115,121.0
1116,1116,117.0
1117,1117,138.0
1118,1118,117.0
1119,1119,128.0
1120,1120,127.0
1121,1121,111.0
1122,1122,105.0
1123,1123,117.0
1124,1124,106.0
1125,1125,116.0
1126,1126,108.0
1127,1127,120.0
1128,1128,106.0
1129,1129,124.0
1130,1130,132.0
1131,1131,134.0
1132,1132,106.0
1133,1133,116.0
1134,1134,106.0
1135,1135,129.0
1136,1136,115.0
1137,1137,136.0
1138,1138,145.0
1139,1139,110.0
1140,1140,137.0
1141,1141,143.0
1142,1142,111.0
1143,1143,140.0
1144,1144,109.0
1145,1145,116.0
1146,1146,131.0
1147,1147,142.0
1148,1148,120.0
1149,1149,115.0
1150,1150,107.0
1151,1151,140.0
1152,1152,125.0
1153,1153,137.0
1154,1154,112.0
1155,1155,102.0
1156,1156,113.0
1157,1157,107.0
1158,1158,104.0
1159,1159,104.0
1160,1160,104.0
1161,1161,107.0
1162,1162,112.0
1163,1163,125.0
1164,1164,123.0
1165,1165,108.0
1166,1166,108.0
1167,1167,102.0
1168,1168,120.0
1169,1169,99.0
1170,1170,87.0
1171,1171,81.0
1172,1172,79.0
1173,1173,125.0
1174,1174,79.0
1175,1175,87.0
1176,1176,97.0
1177,1177,81.0
1178,1178,114.0
1179,1179,107.0
1180,1180,105.0
1181,1181,121.0
1182,1182,97.0
1183,1183,80.0
1184,1184,88.0
1185,1185,80.0
1186,1186,125.0
1187,1187,80.0
1188,1188,94.0
1189,1189,102.0
1190,1190,99.0
1191,1191,136.0
1192,1192,106.0
1193,1193,81.0
1194,1194,126.0
1195,1195,127.0
1196,1196,145.0
1197,1197,102.0
1198,1198,89.0
1199,1199,122.0
1200,1200,104.0
1201,1201,131.0
1202,1202,114.0
1203,1203,114.0
1204,1204,114.0
1205,1205,120.0
1206,1206,100.0
1207,1207,101.0
1208,1208,112.0
1209,1209,104.0
1210,1210,137.0
1211,1211,106.0
1212,1212,111.0
1213,1213,109.0
1214,1214,136.0
1215,1215,105.0
1216,1216,121.0
1217,1217,108.0
1218,1218,108.0
1219,1219,109.0
1220,1220,118.0
1221,1221,117.0
1222,1222,118.0
1223,1223,113.0
1224,1224,122.0
1225,1225,108.0
1226,1226,117.0
1227,1227,116.0
1228,1228,109.0
1229,1229,140.0
1230,1230,117.0
1231,1231,110.0
1232,1232,139.0
1233,1233,123.0
1234,1234,110.0
1235,1235,116.0
1236,1236,118.0
1237,1237,150.0
1238,1238,121.0
1239,1239,112.0
1240,1240,121.0
1241,1241,118.0
1242,1242,121.0
1243,1243,136.0
1244,1244,116.0
1245,1245,110.0
1246,1246,110.0
1247,1247,157.0
1248,1248,131.0
1249,1249,146.0
1250,1250,149.0
1251,1251,114.0
1252,1252,116.0
1253,1253,120.0
1254,1254,165.0
1255,1255,114.0
1256,1256,161.0
1257,1257,127.0
1258,1258,135.0
1259,1259,129.0
1260,1260,170.0
1261,1261,140.0
1262,1262,127.0
1263,1263,137.0
1264,1264,129.0
1265,1265,168.0
1266,1266,113.0
1267,1267,112.0
1268,1268,132.0
1269,1269,110.0
1270,1270,160.0
1271,1271,121.0
1272,1272,132.0
1273,1273,144.0
1274,1274,119.0
1275,1275,138.0
1276,1276,156.0
1277,1277,115.0
1278,1278,118.0
1279,1279,157.0
1280,1280,134.0
1281,1281,115.0
1282,1282,130.0
1283,1283,116.0
1284,1284,128.0
1285,1285,121.0
1286,1286,110.0
1287,1287,142.0
1288,1288,141.0
1289,1289,127.0
1290,1290,127.0
1291,1291,142.0
1292,1292,137.0
1293,1293,132.0
1294,1294,119.0
1295,1295,123.0
1296,1296,112.0
1297,1297,131.0
1298,1298,137.0
1299,1299,106.0
1300,1300,102.0
